num distr,rt,,num distr,rt,,,,,,,,
5.00,1.04,,10.00,1.53,,,,,,,,
5.00,1.34,,10.00,1.61,,,,,,,,
5.00,2.04,,10.00,1.93,,,,,,,,
5.00,1.87,,10.00,1.14,,,,,,,,
5.00,1.72,,10.00,2.06,,,,,,,,
5.00,1.30,,10.00,1.91,,,,,,,,
5.00,1.07,,10.00,1.74,,,,,,,,
5.00,1.20,,10.00,1.21,,,,,,,,
5.00,2.13,,10.00,1.43,,,,,,,,
5.00,1.44,,10.00,1.37,,,,,,,,
5.00,1.35,,10.00,1.32,,,,,,,,
5.00,3.23,,10.00,1.62,,,,,,,,
5.00,3.48,,10.00,1.89,,,,,,,,
5.00,1.28,,10.00,1.17,,,,,,,,
5.00,1.45,,10.00,1.09,,,,,,,,
5.00,2.10,,10.00,1.44,,,,,,,,
5.00,1.34,,10.00,3.39,,,,,,,,
5.00,1.58,,10.00,4.72,,,,,,,,
5.00,1.87,,10.00,1.27,,,,,,,,
5.00,2.00,,10.00,1.54,,,,,,,,
5.00,1.62,,10.00,1.58,,,,,,,,
5.00,1.29,,10.00,1.74,,,,,,,,
5.00,1.50,,10.00,1.32,,,,,,,,
5.00,1.65,,10.00,1.64,,,,,,,,
5.00,1.73,,10.00,1.43,,,,,,,,
5.00,1.12,,10.00,2.02,,,,,,,,
5.00,1.05,,10.00,2.19,,,,,,,,
5.00,1.28,,10.00,1.46,,,,,,,,
5.00,1.20,,10.00,1.52,,,,,,,,
5.00,1.50,,10.00,1.71,,,,,,,,
5.00,1.75,,10.00,2.04,,,,,,,,
5.00,1.47,,10.00,1.30,,,,,,,,
5.00,1.45,,10.00,1.57,,,,,,,,
5.00,7.50,,10.00,1.42,,,,,,,,
5.00,1.18,,10.00,1.16,,,,,,,,
5.00,1.90,,10.00,1.26,,,,,,,,
5.00,1.27,,10.00,1.57,,,,,,,,
5.00,1.32,,10.00,1.43,,,,,,,,
5.00,1.12,,10.00,1.38,,,,,,,,
5.00,1.27,,10.00,1.47,,,,,,,,
5.00,1.20,,10.00,1.19,,,,,,,,
5.00,4.77,,10.00,1.07,,,,,,,,
5.00,1.28,,10.00,0.98,,,,,,,,
5.00,1.34,,10.00,1.33,,,,,,,,
5.00,1.43,,10.00,1.24,,,,,,,,
5.00,1.19,,10.00,1.87,,,,,,,,
5.00,1.18,,10.00,1.21,,,,,,,,
5.00,1.26,,10.00,1.69,,,,,,,,
5.00,1.67,,10.00,2.28,,,,,,,,
5.00,1.14,,10.00,1.16,,,,,,,,
5.00,1.50,,10.00,1.56,,,,,,,,
5.00,1.42,,10.00,1.04,,,,,,,,
5.00,1.31,,10.00,1.02,,,,,,,,
5.00,1.30,,10.00,1.20,,,,,,,,
5.00,1.11,,10.00,2.22,,,,,,,,
5.00,1.30,,10.00,1.49,,,,,,,,
5.00,1.62,,10.00,1.27,,,,,,,,
5.00,1.12,,10.00,0.97,,,,,,,,
5.00,1.69,,10.00,1.21,,,,,,,,
5.00,1.29,,10.00,1.26,,,,,,,,
5.00,1.55,,10.00,1.17,,,,,,,,
5.00,1.31,,10.00,1.58,,,,,,,,
5.00,1.69,,10.00,3.16,,,,,,,,
5.00,1.27,,10.00,2.08,,,,,,,,
5.00,1.05,,10.00,1.64,,,,,,,,
5.00,1.39,,10.00,1.76,,,,,,,,
5.00,1.46,,10.00,1.04,,,,,,,,
5.00,1.66,,10.00,1.25,,,,,,,,
5.00,1.38,,10.00,1.69,,,,,,,,
5.00,1.07,,10.00,1.74,,,,,,,,
5.00,1.13,,10.00,1.27,,,,,,,,
5.00,0.96,,10.00,2.28,,,,,,,,
5.00,2.05,,10.00,1.69,,,,,,,,
5.00,2.01,,10.00,2.00,,,,,,,,
5.00,1.86,,10.00,1.21,,,,,,,,
5.00,1.63,,10.00,1.30,,,,,,,,
5.00,1.74,,10.00,1.36,,,,,,,,
5.00,1.50,,10.00,1.32,,,,,,,,
5.00,1.66,,10.00,2.10,,,,,,,,
5.00,1.31,,10.00,1.56,,,,,,,,
5.00,1.80,,10.00,2.29,,,,,,,,
5.00,1.10,,10.00,1.32,,,,,,,,
5.00,1.53,,10.00,1.57,,,,,,,,
5.00,1.78,,10.00,1.48,,,,,,,,
5.00,1.46,,10.00,1.20,,,,,,,,
5.00,1.53,,10.00,1.33,,,,,,,,
5.00,1.09,,10.00,1.29,,,,,,,,
5.00,0.98,,10.00,1.45,,,,,,,,
5.00,1.22,,10.00,1.31,,,,,,,,
5.00,1.67,,10.00,1.24,,,,,,,,
5.00,1.34,,10.00,1.42,,,,,,,,
5.00,1.33,,10.00,1.22,,,,,,,,
5.00,1.29,,10.00,1.80,,,,,,,,
5.00,1.56,,10.00,1.14,,,,,,,,
5.00,1.47,,10.00,1.72,,,,,,,,
5.00,1.59,,10.00,1.73,,,,,,,,
5.00,1.62,,10.00,2.51,,,,,,,,
5.00,1.28,,10.00,1.17,,,,,,,,
5.00,1.43,,10.00,1.22,,,,,,,,
5.00,2.04,,10.00,2.19,,,,,,,,
5.00,1.38,,10.00,1.73,,,,,,,,
5.00,1.06,,10.00,1.51,,,,,,,,
5.00,1.01,,10.00,0.92,,,,,,,,
5.00,1.33,,10.00,1.71,,,,,,,,
5.00,1.06,,10.00,1.65,,,,,,,,
5.00,2.57,,10.00,1.19,,,,,,,,
5.00,1.21,,10.00,1.05,,,,,,,,
5.00,0.85,,10.00,1.38,,,,,,,,
5.00,1.07,,10.00,1.66,,,,,,,,
5.00,1.45,,10.00,1.90,,,,,,,,
5.00,1.17,,10.00,1.40,,,,,,,,
5.00,1.44,,10.00,1.85,,,,,,,,
5.00,0.96,,10.00,1.71,,,,,,,,
5.00,1.43,,10.00,1.26,,,,,,,,
5.00,1.30,,10.00,0.76,,,,,,,,
5.00,0.71,,10.00,1.08,,,,,,,,
5.00,1.62,,10.00,1.35,,,,,,,,
5.00,1.07,,10.00,1.42,,,,,,,,
5.00,1.52,,10.00,0.89,,,,,,,,
5.00,1.05,,10.00,1.93,,,,,,,,
5.00,1.24,,10.00,1.40,,,,,,,,
5.00,1.69,,10.00,0.85,,,,,,,,
5.00,1.60,,10.00,1.12,,,,,,,,
5.00,1.15,,10.00,1.04,,,,,,,,
5.00,1.22,,10.00,1.39,,,,,,,,
5.00,1.23,,10.00,1.00,,,,,,,,
5.00,0.95,,10.00,1.39,,,,,,,,
5.00,1.73,,10.00,1.55,,,,,,,,
5.00,1.06,,10.00,0.94,,,,,,,,
5.00,1.45,,10.00,1.98,,,,,,,,
5.00,1.07,,10.00,1.43,,,,,,,,
5.00,1.62,,10.00,1.24,,,,,,,,
5.00,1.84,,10.00,1.51,,,,,,,,
5.00,1.55,,10.00,1.21,,,,,,,,
5.00,1.13,,10.00,1.61,,,,,,,,
5.00,1.03,,10.00,1.00,,,,,,,,
5.00,1.40,,10.00,1.05,,,,,,,,
5.00,1.43,,10.00,1.64,,,,,,,,
5.00,1.53,,10.00,1.64,,,,,,,,
5.00,1.17,,10.00,1.31,,,,,,,,
5.00,1.22,,10.00,1.58,,,,,,,,
5.00,1.70,,10.00,1.63,,,,,,,,
5.00,1.23,,10.00,1.67,,,,,,,,
5.00,1.15,,10.00,1.62,,,,,,,,
5.00,1.82,,10.00,1.27,,,,,,,,
5.00,1.38,,10.00,1.67,,,,,,,,
5.00,0.92,,10.00,1.15,,,,,,,,
5.00,1.53,,10.00,1.11,,,,,,,,
5.00,1.77,,10.00,1.17,,,,,,,,
5.00,1.41,,10.00,1.97,,,,,,,,
5.00,1.33,,10.00,0.39,,,,,,,,
5.00,1.14,,10.00,1.31,,,,,,,,
5.00,1.78,,10.00,1.64,,,,,,,,
5.00,1.33,,10.00,1.55,,,,,,,,
5.00,1.56,,10.00,1.09,,,,,,,,
5.00,1.26,,10.00,1.05,,,,,,,,
5.00,1.51,,10.00,1.23,,,,,,,,
5.00,2.12,,10.00,1.54,,,,,,,,
5.00,2.07,,10.00,1.51,,,,,,,,
5.00,1.44,,10.00,1.38,,,,,,,,
5.00,1.31,,10.00,1.77,,,,,,,,
5.00,1.15,,10.00,1.46,,,,,,,,
5.00,1.83,,10.00,1.20,,,,,,,,
5.00,1.34,,10.00,1.55,,,,,,,,
5.00,1.42,,10.00,4.57,,,,,,,,
5.00,1.39,,10.00,0.96,,,,,,,,
5.00,2.53,,10.00,1.46,,,,,,,,
5.00,1.60,,10.00,0.92,,,,,,,,
5.00,2.03,,10.00,1.06,,,,,,,,
5.00,1.32,,10.00,1.04,,,,,,,,
5.00,1.33,,10.00,1.14,,,,,,,,
5.00,1.22,,10.00,1.12,,,,,,,,
5.00,1.33,,10.00,1.07,,,,,,,,
5.00,1.33,,10.00,1.72,,,,,,,,
5.00,1.03,,10.00,1.55,,,,,,,,
5.00,1.58,,10.00,3.60,,,,,,,,
5.00,1.57,,10.00,1.24,,,,,,,,
5.00,2.02,,10.00,1.47,,,,,,,,
5.00,1.46,,10.00,1.54,,,,,,,,
5.00,1.20,,10.00,1.88,,,,,,,,
5.00,1.10,,10.00,1.04,,,,,,,,
5.00,1.31,,10.00,2.21,,,,,,,,
5.00,1.56,,10.00,1.46,,,,,,,,
5.00,1.38,,10.00,1.22,,,,,,,,
5.00,1.27,,10.00,1.51,,,,,,,,
5.00,1.14,,10.00,1.20,,,,,,,,
5.00,1.54,,10.00,2.02,,,,,,,,
5.00,1.29,,10.00,1.29,,,,,,,,
5.00,1.25,,10.00,1.20,,,,,,,,
5.00,1.18,,10.00,1.36,,,,,,,,
5.00,1.06,,10.00,1.65,,,,,,,,
5.00,1.99,,10.00,1.34,,,,,,,,
5.00,1.43,,10.00,2.19,,,,,,,,
5.00,1.02,,10.00,1.25,,,,,,,,
5.00,1.30,,10.00,1.36,,,,,,,,
5.00,1.11,,10.00,1.75,,,,,,,,
5.00,1.78,,10.00,1.54,,,,,,,,
5.00,1.15,,10.00,1.00,,,,,,,,
5.00,1.50,,10.00,1.52,,,,,,,,
5.00,1.45,,10.00,1.13,,,,,,,,
5.00,1.69,,10.00,1.59,,,,,,,,
5.00,1.25,,10.00,1.49,,,,,,,,
5.00,1.35,,10.00,1.37,,,,,,,,
5.00,1.36,,10.00,1.04,,,,,,,,
5.00,1.80,,10.00,0.97,,,,,,,,
5.00,1.14,,10.00,1.17,,,,,,,,
5.00,1.37,,10.00,1.16,,,,,,,,
5.00,1.75,,10.00,1.26,,,,,,,,
5.00,1.43,,10.00,2.67,,,,,,,,
5.00,1.05,,10.00,2.49,,,,,,,,
5.00,1.23,,10.00,3.51,,,,,,,,
5.00,1.17,,10.00,1.97,,,,,,,,
5.00,1.22,,10.00,1.53,,,,,,,,
5.00,1.23,,10.00,1.49,,,,,,,,
5.00,1.31,,10.00,2.40,,,,,,,,
5.00,1.75,,10.00,1.51,,,,,,,,
5.00,2.17,,10.00,2.55,,,,,,,,
5.00,1.33,,10.00,1.21,,,,,,,,
5.00,1.68,,10.00,1.46,,,,,,,,
5.00,1.23,,10.00,1.33,,,,,,,,
5.00,1.42,,10.00,1.12,,,,,,,,
5.00,1.48,,10.00,1.56,,,,,,,,
5.00,1.82,,10.00,1.21,,,,,,,,
5.00,1.38,,10.00,1.60,,,,,,,,
5.00,1.63,,10.00,1.24,,,,,,,,
5.00,1.32,,10.00,1.38,,,,,,,,
5.00,1.22,,10.00,1.12,,,,,,,,
5.00,1.07,,10.00,1.67,,,,,,,,
5.00,2.17,,10.00,1.21,,,,,,,,
5.00,2.36,,10.00,2.75,,,,,,,,
5.00,1.90,,10.00,1.27,,,,,,,,
5.00,2.62,,10.00,1.53,,,,,,,,
5.00,1.54,,10.00,1.06,,,,,,,,
5.00,1.36,,10.00,1.49,,,,,,,,
5.00,1.58,,10.00,0.98,,,,,,,,
5.00,1.69,,10.00,1.56,,,,,,,,
5.00,1.04,,10.00,1.39,,,,,,,,
5.00,1.57,,10.00,1.19,,,,,,,,
5.00,1.45,,10.00,1.11,,,,,,,,
5.00,1.53,,10.00,0.94,,,,,,,,
5.00,1.26,,10.00,1.35,,,,,,,,
5.00,1.63,,10.00,0.96,,,,,,,,
5.00,1.63,,10.00,1.40,,,,,,,,
5.00,1.83,,10.00,0.92,,,,,,,,
5.00,1.35,,10.00,1.21,,,,,,,,
5.00,1.02,,10.00,1.08,,,,,,,,
5.00,1.70,,10.00,1.61,,,,,,,,
5.00,1.77,,10.00,1.17,,,,,,,,
5.00,1.94,,10.00,1.74,,,,,,,,
5.00,1.67,,10.00,0.97,,,,,,,,
5.00,0.89,,10.00,1.90,,,,,,,,
5.00,0.66,,10.00,1.51,,,,,,,,
5.00,0.75,,10.00,0.91,,,,,,,,
5.00,0.16,,10.00,1.47,,,,,,,,
5.00,0.98,,10.00,0.92,,,,,,,,
5.00,0.87,,10.00,1.33,,,,,,,,
5.00,1.40,,10.00,1.16,,,,,,,,
5.00,0.58,,10.00,0.78,,,,,,,,
5.00,1.20,,10.00,1.83,,,,,,,,
5.00,0.89,,10.00,1.52,,,,,,,,
5.00,0.82,,10.00,1.15,,,,,,,,
5.00,1.21,,10.00,1.68,,,,,,,,
5.00,0.99,,10.00,1.47,,,,,,,,
5.00,1.57,,10.00,0.70,,,,,,,,
5.00,0.99,,10.00,0.03,,,,,,,,
5.00,0.83,,10.00,0.77,,,,,,,,
5.00,0.98,,10.00,1.12,,,,,,,,
5.00,0.94,,10.00,0.92,,,,,,,,
5.00,0.87,,10.00,0.97,,,,,,,,
5.00,1.01,,10.00,0.76,,,,,,,,
5.00,1.12,,10.00,0.74,,,,,,,,
5.00,0.85,,10.00,1.53,,,,,,,,
5.00,1.39,,10.00,1.80,,,,,,,,
5.00,0.75,,10.00,0.84,,,,,,,,
5.00,1.45,,10.00,0.91,,,,,,,,
5.00,0.87,,10.00,0.90,,,,,,,,
5.00,0.99,,10.00,1.32,,,,,,,,
5.00,1.30,,10.00,1.14,,,,,,,,
5.00,0.85,,10.00,1.38,,,,,,,,
5.00,0.91,,10.00,1.78,,,,,,,,
5.00,1.05,,10.00,1.23,,,,,,,,
5.00,1.12,,10.00,1.68,,,,,,,,
5.00,0.75,,10.00,1.12,,,,,,,,
5.00,1.00,,10.00,0.86,,,,,,,,
5.00,1.20,,10.00,0.95,,,,,,,,
5.00,1.11,,10.00,1.27,,,,,,,,
5.00,1.16,,10.00,1.10,,,,,,,,
5.00,1.35,,10.00,1.03,,,,,,,,
5.00,0.82,,10.00,1.83,,,,,,,,
5.00,1.23,,10.00,2.44,,,,,,,,
5.00,0.92,,10.00,0.91,,,,,,,,
5.00,1.26,,10.00,1.04,,,,,,,,
5.00,0.95,,10.00,1.25,,,,,,,,
5.00,0.83,,10.00,1.03,,,,,,,,
5.00,0.73,,10.00,2.14,,,,,,,,
5.00,1.09,,10.00,1.21,,,,,,,,
5.00,1.10,,10.00,0.78,,,,,,,,
5.00,0.78,,10.00,1.93,,,,,,,,
5.00,1.83,,10.00,1.22,,,,,,,,
5.00,1.03,,10.00,0.89,,,,,,,,
5.00,1.14,,10.00,0.95,,,,,,,,
5.00,0.94,,10.00,1.30,,,,,,,,
5.00,1.21,,10.00,0.93,,,,,,,,
5.00,1.06,,10.00,1.82,,,,,,,,
5.00,1.41,,10.00,1.05,,,,,,,,
5.00,0.85,,10.00,1.03,,,,,,,,
5.00,0.84,,10.00,1.43,,,,,,,,
5.00,1.29,,10.00,1.42,,,,,,,,
5.00,1.09,,10.00,1.98,,,,,,,,
5.00,1.34,,10.00,1.23,,,,,,,,
5.00,1.03,,10.00,1.17,,,,,,,,
5.00,1.14,,10.00,1.27,,,,,,,,
5.00,1.23,,10.00,0.84,,,,,,,,
5.00,1.05,,10.00,1.00,,,,,,,,
5.00,0.90,,10.00,1.05,,,,,,,,
5.00,0.80,,10.00,0.88,,,,,,,,
5.00,1.06,,10.00,1.98,,,,,,,,
5.00,1.16,,10.00,1.38,,,,,,,,
5.00,1.04,,10.00,1.14,,,,,,,,
5.00,1.11,,10.00,1.11,,,,,,,,
5.00,0.98,,10.00,1.31,,,,,,,,
5.00,0.78,,10.00,1.28,,,,,,,,
5.00,0.94,,10.00,1.02,,,,,,,,
5.00,1.15,,10.00,1.41,,,,,,,,
5.00,1.12,,10.00,1.17,,,,,,,,
5.00,2.28,,10.00,1.29,,,,,,,,
5.00,1.16,,10.00,1.15,,,,,,,,
5.00,1.18,,10.00,0.79,,,,,,,,
5.00,0.96,,10.00,1.17,,,,,,,,
5.00,0.75,,10.00,1.22,,,,,,,,
5.00,0.96,,10.00,3.18,,,,,,,,
5.00,0.91,,10.00,0.97,,,,,,,,
5.00,0.96,,10.00,1.34,,,,,,,,
5.00,0.94,,10.00,1.01,,,,,,,,
5.00,1.06,,10.00,1.60,,,,,,,,
5.00,1.05,,10.00,0.97,,,,,,,,
5.00,0.95,,10.00,1.42,,,,,,,,
5.00,1.01,,10.00,0.80,,,,,,,,
5.00,0.97,,10.00,1.87,,,,,,,,
5.00,0.90,,10.00,2.24,,,,,,,,
5.00,0.91,,10.00,1.54,,,,,,,,
5.00,0.84,,10.00,1.39,,,,,,,,
5.00,0.90,,10.00,3.42,,,,,,,,
5.00,0.91,,10.00,1.87,,,,,,,,
5.00,0.81,,10.00,2.73,,,,,,,,
5.00,1.39,,10.00,1.54,,,,,,,,
5.00,1.15,,10.00,1.61,,,,,,,,
5.00,1.68,,10.00,1.55,,,,,,,,
5.00,1.01,,10.00,1.60,,,,,,,,
5.00,0.89,,10.00,1.41,,,,,,,,
5.00,1.73,,10.00,1.33,,,,,,,,
5.00,2.25,,10.00,1.96,,,,,,,,
5.00,1.84,,10.00,1.47,,,,,,,,
5.00,1.48,,10.00,1.57,,,,,,,,
5.00,1.15,,10.00,1.38,,,,,,,,
5.00,1.42,,10.00,1.19,,,,,,,,
5.00,1.55,,10.00,1.20,,,,,,,,
5.00,2.43,,10.00,1.80,,,,,,,,
5.00,1.46,,10.00,1.59,,,,,,,,
5.00,1.48,,10.00,1.54,,,,,,,,
5.00,1.46,,10.00,1.06,,,,,,,,
5.00,1.71,,10.00,1.50,,,,,,,,
5.00,1.60,,10.00,1.19,,,,,,,,
5.00,1.58,,10.00,1.14,,,,,,,,
5.00,1.60,,10.00,1.57,,,,,,,,
5.00,1.55,,10.00,1.09,,,,,,,,
5.00,1.44,,10.00,2.23,,,,,,,,
5.00,1.90,,10.00,1.89,,,,,,,,
5.00,1.70,,10.00,1.24,,,,,,,,
5.00,1.25,,10.00,1.44,,,,,,,,
5.00,1.15,,10.00,1.79,,,,,,,,
5.00,1.68,,10.00,2.47,,,,,,,,
5.00,1.16,,10.00,1.62,,,,,,,,
5.00,2.31,,10.00,1.55,,,,,,,,
5.00,1.72,,10.00,2.35,,,,,,,,
5.00,1.09,,10.00,1.67,,,,,,,,
5.00,1.38,,10.00,1.47,,,,,,,,
5.00,1.44,,10.00,1.54,,,,,,,,
5.00,1.27,,10.00,1.07,,,,,,,,
5.00,1.32,,10.00,1.28,,,,,,,,
5.00,1.26,,10.00,1.43,,,,,,,,
5.00,1.49,,10.00,1.49,,,,,,,,
5.00,1.36,,10.00,1.35,,,,,,,,
5.00,1.54,,10.00,0.95,,,,,,,,
5.00,1.83,,10.00,1.27,,,,,,,,
5.00,1.88,,10.00,1.07,,,,,,,,
5.00,2.10,,10.00,3.14,,,,,,,,
5.00,2.08,,10.00,1.48,,,,,,,,
5.00,1.23,,10.00,1.47,,,,,,,,
5.00,1.14,,10.00,1.60,,,,,,,,
5.00,1.51,,10.00,1.82,,,,,,,,
5.00,1.53,,10.00,0.96,,,,,,,,
5.00,1.38,,10.00,2.57,,,,,,,,
5.00,1.05,,10.00,1.16,,,,,,,,
5.00,1.32,,10.00,1.33,,,,,,,,
5.00,1.65,,10.00,2.51,,,,,,,,
5.00,1.50,,10.00,1.33,,,,,,,,
5.00,1.78,,10.00,1.61,,,,,,,,
5.00,1.35,,10.00,1.94,,,,,,,,
5.00,2.55,,10.00,1.46,,,,,,,,
5.00,1.53,,10.00,1.30,,,,,,,,
5.00,1.02,,10.00,1.21,,,,,,,,
5.00,2.26,,10.00,1.65,,,,,,,,
5.00,1.54,,10.00,1.80,,,,,,,,
5.00,2.80,,10.00,1.49,,,,,,,,
5.00,1.96,,10.00,1.77,,,,,,,,
5.00,1.29,,10.00,1.54,,,,,,,,
5.00,2.21,,10.00,1.45,,,,,,,,
5.00,1.67,,10.00,1.22,,,,,,,,
5.00,1.36,,10.00,1.48,,,,,,,,
5.00,1.36,,10.00,2.03,,,,,,,,
5.00,1.31,,10.00,1.34,,,,,,,,
5.00,1.42,,10.00,1.15,,,,,,,,
5.00,2.15,,10.00,1.64,,,,,,,,
5.00,1.42,,10.00,1.38,,,,,,,,
5.00,1.30,,10.00,1.05,,,,,,,,
5.00,1.15,,10.00,1.53,,,,,,,,
5.00,1.60,,10.00,1.22,,,,,,,,
5.00,1.22,,10.00,1.87,,,,,,,,
5.00,1.93,,10.00,2.46,,,,,,,,
5.00,1.80,,10.00,1.42,,,,,,,,
5.00,1.48,,10.00,1.65,,,,,,,,
5.00,2.06,,10.00,1.87,,,,,,,,
5.00,2.10,,10.00,1.54,,,,,,,,
5.00,1.95,,10.00,1.97,,,,,,,,
5.00,1.15,,10.00,1.36,,,,,,,,
5.00,1.38,,10.00,1.92,,,,,,,,
5.00,1.19,,,,,,,,,,,
5.00,1.73,,,,,,,,,,,
5.00,1.75,,,,,,,,,,,
5.00,2.93,,,,,,,,,,,
5.00,1.22,,,,,,,,,,,
5.00,1.05,,,,,,,,,,,
5.00,1.17,,,,,,,,,,,
5.00,1.20,,,,,,,,,,,
5.00,1.58,,,,,,,,,,,
5.00,1.14,,,,,,,,,,,
5.00,1.32,,,,,,,,,,,
5.00,1.58,,,,,,,,,,,
5.00,1.31,,,,,,,,,,,
5.00,1.65,,,,,,,,,,,
5.00,1.20,,,,,,,,,,,
5.00,1.71,,,,,,,,,,,
5.00,1.88,,,,,,,,,,,
5.00,1.70,,,,,,,,,,,
5.00,1.22,,,,,,,,,,,
5.00,0.96,,,,,,,,,,,
5.00,1.84,,,,,,,,,,,
5.00,1.10,,,,,,,,,,,
5.00,1.28,,,,,,,,,,,
5.00,0.92,,,,,,,,,,,
5.00,1.34,,,,,,,,,,,
5.00,1.58,,,,,,,,,,,
5.00,1.74,,,,,,,,,,,
5.00,1.34,,,,,,,,,,,
5.00,1.20,,,,,,,,,,,
5.00,1.47,,,,,,,,,,,
5.00,1.34,,,,,,,,,,,
5.00,2.27,,,,,,,,,,,
5.00,1.72,,,,,,,,,,,
5.00,1.18,,,,,,,,,,,
5.00,1.63,,,,,,,,,,,
5.00,1.20,,,,,,,,,,,
